X ürün,"500 TL'ye 100 TL İndirimSepette589,20 TL689,20 TL",2026-09-20T13:47:46.373799
Y ürün,"Sepette 400 TL İndirimSepette667,20 TL1.067,20 TL",2026-09-20T13:47:47.589285
